מספר_הזמנה,תאריך,שנה,חודש,יום_בשבוע,עונה,חג,רשת,עיר,אזור,קטגוריה,תת_קטגוריה,מוצר,כמות,מחיר_יחידה,הנחה_אחוז,מכירות_ש,רווח_ש,אחוז_רווח
IL-01001,2022-08-17,2022,8,רביעי,קיץ,,חצי חינם,תל אביב,מרכז,ביגוד והנעלה,נשים,שמלת קיץ,3,126.65,0.15,379.95,138.64,36.5
IL-01002,2022-07-29,2022,7,שישי,קיץ,,חצי חינם,באר שבע,דרום,בריאות ויופי,תרופות OTC,וויקס,7,24.9,0.0,174.3,55.05,31.6
IL-01003,2022-03-03,2022,3,חמישי,אביב,,רמי לוי,ראשון לציון,מרכז,אלקטרוניקה,מטעני חשמל,סוללה ניידת,1,134.1,0.1,134.1,26.74,19.9
IL-01004,2023-02-12,2023,2,ראשון,חורף,,חצי חינם,אשדוד,דרום,בריאות ויופי,ויטמינים,ויטמין C 1000,8,35.1,0.1,280.8,102.69,36.6
IL-01005,2023-07-24,2023,7,שני,קיץ,,שופרסל,אשקלון,דרום,אלקטרוניקה,טלוויזיות,"LG 50""",5,2299.0,0.0,11495.0,1988.35,17.3
IL-01006,2023-03-17,2023,3,שישי,אביב,,מגה,אשקלון,דרום,מזון ומשקאות,מוצרי חלב,גבינה לבנה 5%,2,12.9,0.0,25.8,2.91,11.3
IL-01007,2023-12-06,2023,12,רביעי,חורף,,מגה,נהריה,צפון,מזון ומשקאות,משקאות,מים נביעות 6פ',2,14.15,0.05,28.3,4.74,16.7
IL-01008,2024-01-11,2024,1,חמישי,חורף,,רמי לוי,נהריה,צפון,מזון ומשקאות,מוצרי חלב,יוגורט דנונה,4,3.6,0.2,14.4,2.06,14.3
IL-01009,2023-08-16,2023,8,רביעי,קיץ,,רמי לוי,ראשון לציון,מרכז,מזון ומשקאות,פירות וירקות,"תפוחים ק""ג",8,10.12,0.15,80.96,8.57,10.6
IL-01010,2024-01-18,2024,1,חמישי,חורף,,מגה,פתח תקווה,מרכז,ביגוד והנעלה,נשים,מכנסי ספורט,5,109.65,0.15,548.25,200.81,36.6
IL-01011,2022-05-27,2022,5,שישי,אביב,,חצי חינם,נהריה,צפון,אלקטרוניקה,מטעני חשמל,סוללה ניידת,4,149.0,0.0,596.0,98.99,16.6
IL-01012,2024-08-04,2024,8,ראשון,קיץ,,מגה,בית שמש,ירושלים,בריאות ויופי,קוסמטיקה,פאודר פנים,6,71.2,0.2,427.2,130.74,30.6
IL-01013,2022-04-25,2022,4,שני,אביב,,שופרסל,חולון,מרכז,ביגוד והנעלה,הנעלה,סנדלי נוחות,2,199.0,0.0,398.0,142.19,35.7
IL-01014,2024-07-28,2024,7,ראשון,קיץ,,מגה,פתח תקווה,מרכז,אלקטרוניקה,מחשבים,טאבלט iPad,5,2124.15,0.15,10620.75,1302.12,12.3
IL-01015,2024-05-27,2024,5,שני,אביב,,יינות ביתן,הרצליה,שרון,בית וגן,שינה,כרית שינה,3,80.1,0.1,240.3,54.85,22.8
IL-01016,2024-10-07,2024,10,שני,סתיו,,שופרסל,ראשון לציון,מרכז,מזון ומשקאות,לחם ומאפים,פיתות,3,7.12,0.2,21.36,2.2,10.3
IL-01017,2024-05-14,2024,5,שלישי,אביב,,שופרסל,נהריה,צפון,בית וגן,ניקיון,שואב אבק,8,359.1,0.1,2872.8,717.09,25.0
