כמות,מחיר_יחידה,הנחה_אחוז,month,day_of_week_num,is_holiday,is_weekend,קטגוריה_enc,רשת_enc,אזור_enc,עונה_enc,is_high_profit
3,126.65,0.15,8,2,0,0,1,1,2,3,1
7,24.9,0.0,7,4,0,1,3,1,0,3,1
1,134.1,0.1,3,3,0,0,0,4,2,0,0
8,35.1,0.1,2,6,0,0,3,1,0,1,1
5,2299.0,0.0,7,0,0,0,0,5,0,3,0
2,12.9,0.0,3,4,0,1,4,3,0,0,0
2,14.15,0.05,12,2,0,0,4,3,3,1,0
4,3.6,0.2,1,3,0,0,4,4,3,1,0
8,10.12,0.15,8,2,0,0,4,4,2,3,0
5,109.65,0.15,1,3,0,0,1,3,2,1,1
4,149.0,0.0,5,4,0,1,0,1,3,0,0
6,71.2,0.2,8,6,0,0,3,3,1,3,1
2,199.0,0.0,4,0,0,0,1,5,2,0,1
5,2124.15,0.15,7,6,0,0,0,3,2,3,0
3,80.1,0.1,5,0,0,0,2,2,4,0,0
3,7.12,0.2,10,0,0,0,4,5,2,2,0
8,359.1,0.1,5,1,0,0,2,5,3,0,0
5,10.32,0.2,5,1,0,0,4,5,3,0,0
1,339.15,0.15,11,1,0,0,2,3,2,1,0
5,19.92,0.2,6,5,0,1,3,4,0,3,1
1,629.1,0.1,11,1,0,0,0,4,3,1,0
4,52.9,0.0,10,3,0,0,4,5,3,2,0
8,3.6,0.2,5,1,0,0,4,2,4,0,0
8,2249.1,0.1,5,6,0,0,0,2,0,0,0
4,33.15,0.15,12,0,0,0,3,2,2,1,1
8,279.0,0.0,10,6,0,0,1,1,1,2,1
4,35.1,0.1,5,1,0,0,1,5,2,0,1
1,6.0,0.2,3,1,0,0,4,5,2,0,0
8,299.0,0.0,11,2,0,0,0,2,2,1,0
8,31.2,0.2,9,2,0,0,3,2,0,2,1
8,159.2,0.2,7,0,0,0,1,0,0,3,1
6,10.32,0.2,4,3,0,0,4,1,0,0,0
3,46.55,0.05,8,4,0,1,0,4,2,3,0
2,2799.0,0.0,1,2,0,0,0,0,2,1,0
8,2299.0,0.0,1,0,0,0,0,4,2,1,0
7,2799.0,0.0,4,0,0,0,0,5,4,0,0
1,126.65,0.15,9,0,0,0,1,4,2,2,1
3,44.0,0.0,10,3,0,0,3,5,2,2,0
4,6.55,0.05,11,2,0,0,4,4,2,1,0
2,23.65,0.05,9,5,0,1,3,4,3,2,1
5,664.05,0.05,12,4,0,1,0,3,1,1,0
2,437.8,0.0,9,0,1,0,1,1,0,2,1
3,49.0,0.0,7,6,0,0,0,2,2,3,0
5,1169.1,0.1,5,5,0,1,0,3,1,0,0
2,14.9,0.0,12,3,0,0,3,1,2,1,1
5,44.1,0.1,6,0,0,0,3,5,2,3,1
8,299.0,0.0,3,2,0,0,0,3,0,0,0
1,89.0,0.0,4,4,0,1,2,1,2,0,1
7,2572.02,0.1,9,6,1,0,0,3,0,2,0
6,80.1,0.1,1,3,0,0,0,5,2,1,0
1,52.9,0.0,10,0,0,0,4,4,1,2,0
7,22.41,0.1,3,1,0,0,4,4,0,0,0
1,5499.0,0.0,11,6,0,0,0,4,4,1,0
2,664.05,0.05,11,6,0,0,0,0,0,1,0
5,3310.56,0.2,4,2,1,0,0,5,2,0,0
6,69.0,0.0,5,0,0,0,1,3,0,0,1
1,49.0,0.0,8,3,0,0,0,3,4,3,0
4,14.9,0.0,10,3,0,0,3,2,1,2,1
4,9.9,0.0,4,4,0,1,4,0,0,0,0
2,58.65,0.15,6,6,0,0,1,1,2,3,1
5,134.1,0.1,9,4,0,1,2,3,3,2,0
5,122.55,0.05,9,6,0,0,2,0,2,2,0
8,18.9,0.05,3,1,0,0,3,2,1,0,1
6,2799.0,0.0,3,1,0,0,0,0,3,0,0
1,2999.0,0.0,4,3,0,0,0,3,0,0,0
4,10.12,0.15,5,2,0,0,4,2,3,0,0
1,1999.2,0.2,2,0,0,0,0,0,3,1,0
8,2499.0,0.0,8,6,0,0,0,0,0,3,0
6,319.2,0.2,5,4,0,1,2,5,4,0,0
8,44.0,0.0,6,1,0,0,3,1,3,3,1
8,254.15,0.15,8,4,0,1,0,3,3,3,0
4,14.9,0.0,5,4,0,1,4,0,2,0,0
4,7.12,0.05,11,6,0,0,4,2,1,1,0
6,10.71,0.1,11,2,0,0,4,4,0,1,0
1,1839.2,0.2,8,0,0,0,0,5,1,3,0
7,107.1,0.1,2,0,0,0,1,5,3,1,1
1,189.05,0.05,3,1,0,0,1,4,3,0,1
3,359.1,0.1,11,0,0,0,2,1,0,1,1
7,18.9,0.0,12,6,0,0,3,0,2,1,0
7,199.0,0.0,3,4,0,1,1,3,3,0,1
4,12.66,0.15,6,4,0,1,3,5,3,3,1
3,5998.0,0.0,3,3,1,0,0,5,0,0,0
8,5.87,0.15,9,4,0,1,4,1,3,2,0
2,119.2,0.2,6,4,0,1,0,3,0,3,0
7,14.15,0.05,12,4,0,1,3,5,2,1,1
1,24.9,0.0,9,6,0,0,3,1,4,2,1
6,39.0,0.0,12,4,0,1,1,1,1,1,1
8,10.12,0.15,5,4,0,1,4,0,4,0,0
8,14.15,0.05,11,3,0,0,3,4,1,1,1
4,15.92,0.2,6,1,0,0,3,1,4,3,1
7,1299.0,0.0,6,0,0,0,0,0,2,3,0
6,2239.2,0.2,2,0,0,0,0,3,3,1,0
1,13.41,0.1,6,2,0,0,3,3,1,3,1
4,339.15,0.15,1,4,0,1,2,4,2,1,0
2,12.9,0.0,9,0,0,0,2,1,0,2,0
6,284.05,0.05,3,3,0,0,0,1,1,0,0
8,19.9,0.0,12,0,0,0,3,0,1,1,1
6,7.9,0.0,9,2,0,0,4,4,2,2,0
